Time,unit_Time,Cella_1,unit_1,Cella_2,unit_2,Cella_3,unit_3,Cella_4,unit_4,SG600_main,unit_main,SG600_temp,unit_temp
22.87954,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.99121,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.09341,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.202,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.31404,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.41704,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.51902,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.62117,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.72236,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.82339,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
23.92798,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.03035,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.13978,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.24157,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.34313,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.44445,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
24.54625,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
24.65419,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.76283,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.87005,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
24.97972,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
25.08103,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
25.18543,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
25.2894,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
25.39062,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
25.49712,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
25.60293,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
25.70634,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
